专辑名,URL,上一轮店里放,专辑观感,关键制作人,发行方/唱片公司,发行日期,噪音程度,地区,感情分,技法,摇摆速率,新颖程度,概念传达,歌手/乐队,细节处理,评价/理解,评分 out of 100,负担程度,音乐类型+特点
Liquid Yellow Portraits,,,,,origami productions,"October 30, 2024",,日本,,,,,,Shingo Suzuki,,,0,,"funk, fusion jazz, jazz"
Expanding To One,,,,,Gondwana Records,"May 23, 2025",4.25,美国,,,,,,Phi-Psonics,,,0,5,"ambient jazz, jazz"
"SABLE, fABLE ",,,7,,Jagjaguwar,"April 11, 2025",4.75,美国,7,6.5,,6.5,6.65,Bon Iver,6.5,2025最佳民谣，没什么好说的,67.3,,indie-folk
泳客 (Re：visions),,,,,S.A.G,"August 9, 2019",,大陆,,,,,,Uhsgnǒd 仙童,,,0,,"indie-rock, post-rock"
crystallize,,,,,,"November 13, 2011",7,日本,,,,,,东京酒吐座,,,0,,"dream pop, shoegaze"
downt,,,,,ungulates,"October 1, 2021",7,日本,,,,,,downt,,,0,,"indie-rock, math-rock"
I Dig You,,,,专辑由金曲奖最佳演唱组合「Crispy脆乐团」主唱Skippy担任专辑制作人,forgood music,"October 23, 2024",6,大陆,,,,,,恐龙的皮,,,0,,"dream pop, indie-pop"
Premiers Symptômes,,,,,,"July 29, 1997",,法国,,,,,,Air,,,0,,"ambient jazz, electronic"
Octava,,,,,Gondwana Records,"June 30, 2023",,美国,,,,,,Phi-Psonics,,,0,,"ambient jazz, jazz"
Captured Spirits,,,,,Gondwana Records,"September 11, 2020",,英国,,,,,,Mammal Hands,,,0,,"contemporary-jazz, jazz, math-rock"
Gift from the Trees,https://c6.y.qq.com/base/fcgi-bin/u?__=Os73DTUb6Hj4,,,,Gondwana Records,"March 11, 2023",5,英国,,,,,,Mammal Hands,,,0,,"contemporary-jazz, math-rock"
yes?,,,,,ROSE RECORDS,"June 19, 2013",6,日本,,,,,,Hotel New Tokyo,,,0,,"jazz hippop, math-rock"
C,,,,,Friend Of Mine Records,"May 13, 2013",6,日本,,,,,,A picture of her,,,0,,math-rock
El Ten Eleven,,,,,Joyful Noise Recordings,"September 20, 2005",6,美国,,,,,,El Ten Eleven,,,0,,"math-rock, post-rock"
Fast Forward,,,,,Fake Record Labels,"August 21, 2015",5.5,美国,,,,,,El Ten Eleven,,,0,,"ambient-rock, electronic, math-rock"
Neon Donuts,,,,,MasterMind,"October 23, 2020",5.1,大陆,,,,,,BowAsWell,,,0,,"electronic, funk, synthesizer"
FOR STARTERS,,,,,,"June 23, 2023",4.5,美国,,,,,,SOLOMON,,,0,,R&B
Dream of the Egg,,,,"几何学模样吉他手
Members
• Go Kurosawa
• Tomo Katsurada
• Kotsu Guy
• Daoud Popal （Daoud Akira?）
• Ryu Kurosawa",Future Days Shop,"November 15, 2024",3,日本,,,,,,Tomo Katsurada,,,0,,"Psychedelic rock, ambient-rock"
物件，所在,,,,,索尼,"September 3, 2024",4.75,台湾,,,,,,Funkymo,,“编曲中满满的复古声响，借用美国的黑人福音音乐元素，些许的叛逆想要偏离主流听众流行曲目的声响，实现我心目中属于台湾本土的 R&B 应该要有的样子，专辑结尾沈静却暗潮汹涌的另类电音，是梦醒时刻对于 2019 年回到台湾，一心只想做电音的 FunkyMo 的点头致意。”,0,,"funk, 闽南"
My Favorite Tune,,,,,"Old: 
Sapporo Jazz
New: 
We Release Jazz","June 4, 1994",3,日本,,,,,,Ryo Fukui 福居良,,,0,,"cool jazz, jazz, jazz hippop"
Floa,,,,,Gondwana Records,"May 27, 2016",5,英国,,,,,,Mammal Hands,,,0,,"contemporary-jazz, math-rock"
MELODICA,,,,,Hydeout Productions,"September 6, 2013",,日本,,,,,,Haruka Nakamura 中村遥,,,0,,"ambient jazz, jazz hippop"
Memory Streams,,,,,Gondwana Records,"October 4, 2019",6,英国,,,,,,Portico Quartet,,,0,8,"ambient jazz, fusion jazz, math-rock"
Inner Symphonies,,,,"钢琴Hania Rani +
大提琴Dobrawa Czocher
‌Deutsche Grammophon（简称DG）是全球最著名的古典音乐唱片品牌，成立于1898年，现为环球音乐集团旗下厂牌，以标志性的黄色郁金香商标和顶尖艺术家阵容著称‌。2025年5月其在中国设立分支机构DG中国，进一步拓展亚洲市场。‌‌",Deutsche Grammophon,"October 15, 2021",5,波兰,,,,,,Hania Rani,,,0,7.5,"classical, new-classical?"
Prayer,,,,Replus+岛裕介,,"May 22, 2019",4.25,日本,,,,,,Re:plus,,,0,4,"ambient jazz, jazz hippop"
Esja,,,,,"Gondwana Records ","April 5, 2019",2,波兰,,,,,,Hania Rani,,,0,2.5,"Pure-Piano, ambient jazz, classical"
The Beast in Its Tracks,,,,,Pytheas Recordings,"May 5, 2013",3.5,美国,,,,,,Josh Ritter,,,0,2,indie-folk
Dark Times,,,,,Def Jam Recordings,"May 25, 2024",4.75,美国,,,6.5,,,Vince Staples,,挺高级,0,3,"hiphop, jazz hippop, neo-soul"
Dreamer On The Run,,,,,,"August 20, 2013",5,瑞典,,,5,,,U137,,"Pearl Lakes
Watching the storm 太狠了",0,3.5,post-rock
Blue Building Blocks,,,,,https://www.google.com/search?client=firefox-b-d&sca_esv=4da7261d6af0beeb&sxsrf=AE3TifOOpa_M7cpkzsn7j0lTalYG2XWH7g:1751467777684&q=blue+building+blocks+kiwiport&si=AMgyJEs9DArPE9xmb5yVYVjpG4jqWDEKSIpCRSjmm88XZWnGNQPMrDJIZOLQza94uEQ8Zs0ibdNu0fNQ0L8n8MXSguj2wEjIc-Jqv2Xq1aV-sc1Z-sHntXtgA7O6pCwnQ6WtcHd34T2Vr4SdzN55oyqzKS3nB4lPyOiNf7MqfrRFmvz4Dcqk6i5EPYpv1XgPM_jcjpZ4pQO-L-ld6cHa9477eIjfyUq-JICe60fJpDOQ3NKO_82Iaa0%3D&sa=X&ved=2ahUKEwix1OX1tZ6OAxX1lu4BHXP-DrQQmxN6BAgcEAI,"October 10, 2012",5,日本,,,6.55,,,how to count one to ten,,,0,3.5,math-rock
十万个为什么,,,7.5,,Space Circle,"September 24, 2020",5.5,大陆,8,6,6.5,6.5,8.5,惘闻,6,"惘闻神专之一
流浪者之歌，孤独的鸟和真神醉忘川
整专的气质就像在穿过一层一层的薄雾
电子的元素略带一些玄幻",72.5,5,"ambient-rock, post-rock"
Shiori,,,6.25,鼓手 粉川心,"bud music, inc.","August 6, 2014",,日本,6,8,,6,5,Jizue,7.75,"纯粹的技术
抒情+轻松
Shiori + March Of Monkey",64.25,,"contemporary-jazz, math-rock"
story,,,7.5,,"bud music, inc.","May 25, 2016",,日本,6,8,,7,4,Jizue,7.75,"比Shiori风格更多
Light + Habana",65.75,,"contemporary-jazz, latin, math-rock, post-rock"
Nature Of Everything,,,7.5,,Newlights Production,"June 20, 2014",,泰国,6.75,6.75,,6.5,6.75,Hope the flowers,6.5,"纯粹的好听
For you my sky
I am sorry to say",68.5,,post-rock
The One Above,,,,,,"February 20, 2023",,瑞士,,,,,,Hubris,,,0,,post-rock
咸空气,,,6.75,,摩登天空,"May 23, 2024",,大陆,6.75,6,,5,6.75,咸空气,6,"氛围感后摇
专辑传达深圳概念很好，但是比较取巧
旋律性强",63.5,,post-rock
"Sonorous Faith, Pt.1",,,,Meen 吹奏+弦乐,Newlights Production,"July 7, 2020",,泰国,,,,,,Hope the flowers,,"Warchestra
Rewind Nature",0,,post-rock
Son Of Spergy,,,6.85,,,"October 24, 2025",,"加拿大, 美国",6.9,6.5,,6.5,7,Daniel Caesar,6.5,"Gospel 的元素在专辑里的元素带来的更多是感动
Who Knows, Root Of a Evil",67.5,,R&B
Essex Honey,,,6.85,,,"August 29, 2025",,英国,6.9,6.5,,6.75,6.5,Blood Orange,6.5,"管弦乐的运用贯穿全场
The Field很突出 Mind Loaded
相对来讲是比较新的那种rnb",66.75,,R&B
枯萎颂,,,,,音之邦,"August 7, 2024",,,,,,,,王忆灵,,,0,,indie-folk
石の糸,,,6.75,綾野金子,1994,"April 25, 2025",,日本,6.75,6.75,,6.9,6,kanekoayano,7,"日の出, 石と蝶, 水の中",66.4,,indie-rock
5689,,,6,,摩登天空,"September 15, 2025",,大陆,5,6.5,,6.5,6.5,超级市场,6,六七八,60.5,,"electronic, indie-rock"
Patch,,,7.25,,"HIFIVE
","August 5, 2025",,大陆,7.5,7.75,,6.25,6.25,Fayzz,7.5,"今年关注度最高的国内器乐专辑
几乎首首都有不同风格的好
EchoDance, Forlorn Hope, Distance, 美梦成空",71.25,,"math-rock, post-rock"
Necessary Fictions,,,7,,,"June 20, 2025",,英国,6,8.1,,7,6.25,GoGo Penguin,7.5,"又是一张绝顶的当代融合爵士
Fallowfield Loops",69.2,,"contemporary-jazz, fusion jazz, math-rock"
The Mocking Stars,,,7,," https://www.google.com/search?client=firefox-b-d&hs=mqe9&sca_esv=d49a4369f0d2dc0b&sxsrf=AE3TifOW_FEL-Bu_NMfES3LgC1mX4UeTRA:1765937774566&q=lausse+the+cat+velvet+blues&si=AMgyJEs9DArPE9xmb5yVYVjpG4jqWDEKSIpCRSjmm88XZWnGNdcIedxl_Z3CTM7DFa2IeI8MLJtO8Tr-J_8CaKD4DxPSl-JO0rQ4lsRQjiEQkbByMwDbUfzDMnVK3Dy_Z-f7W7X-qYLExusIkkF0mwFbYOMz4uywU0EtCyRJLEJLqKZu7P_kP_TjQFVOScG3YHYvsgNn0b9EBj6bBHjCAxCh_iMUQ3-3iHmy6_d-ko9F78A8fdbO7Wg%3D&sa=X&ved=2ahUKEwjFif7txsORAxV4ra8BHa09GpAQmxN6BAgTEAI","November 6, 2025",,英国,7.1,6.45,,7.25,7,LAUSSE THE CAT,6.55,在其中能听到非常爵士的底色,68.9,,"abstract hiphop, alternative hiphop, hiphop, jazz hippop"
French Exit,,,7.5,,Self-released,"June 5, 2014",,美国,7,6,,6.5,6.75,TV Girl,6.5,"很舒服，
Pantyhose, Lovers Rock, Hate Yourself",67.5,,"Alternative Rock, Lofi, electronic"
